color_name,hex_code,sound_name,rgb_values,sound_frequency,color_family,sound_duration,color_intensity,sound_waveform,color_saturation
Fuscia,#ad451f,loud,255,Monthly,warm colors,1752.27,97.69,triangle wave,20.79
Indigo,#c8f46f,loud,0,Once,neutral colors,2824.73,36.61,triangle wave,15.85
Aquamarine,#ee0266,soft,-255,Never,cool colors,181.65,83.07,sine wave,11.06
Mauv,#cd84a1,loud,255),Monthly,neutral colors,1105.81,84.65,sine wave,65.5
Purple,#7c4ff2,low-pitched,-255,Never,warm colors,2249.53,51.06,sine wave,13.33
Aquamarine,#152a08,loud,0,Often,neutral colors,2998.14,15.48,sine wave,82.82
Teal,#49ff2d,soft,-255,Monthly,neutral colors,2049.16,29.54,square wave,64.23
Khaki,#c5937b,soft,0,Never,cool colors,3181.66,40.09,sine wave,7.66
Teal,#f325c0,high-pitched,0,Never,warm colors,854.94,6.67,triangle wave,20.55
Green,#e0f099,soft,255,Once,cool colors,247.28,20.5,sine wave,57.96
Maroon,#358262,loud,255,Never,neutral colors,2354.88,71.53,sine wave,44.72
Mauv,#afc0b2,loud,255),Once,cool colors,57.23,25.96,square wave,1.2
Yellow,#da55d8,soft,0),Monthly,neutral colors,757.16,87.87,triangle wave,78.48
Mauv,#380054,low-pitched,0,Seldom,warm colors,3216.58,11.11,sine wave,73.37
Maroon,#52d896,low-pitched,-255,Monthly,neutral colors,162.08,84.73,square wave,49.08
Blue,#921632,soft,0,Never,warm colors,951.99,17.8,triangle wave,82.18
Teal,#3fe251,high-pitched,255),Often,warm colors,2162.69,62.19,triangle wave,16.35
Crimson,#0b0ed7,low-pitched,0,Monthly,neutral colors,596.84,97.69,sine wave,87.38
Fuscia,#9fa0ab,soft,0,Daily,neutral colors,2573.07,94.8,sine wave,35.85
Green,#0ac06a,high-pitched,0),Never,neutral colors,2696.22,74.06,square wave,52.13
Blue,#51f9d2,loud,255),Seldom,cool colors,2044.82,2.23,square wave,98.12
Khaki,#59293e,high-pitched,0,Never,cool colors,2262.74,80.06,triangle wave,48.02
Turquoise,#c3fa96,low-pitched,0,Monthly,neutral colors,1788.36,22.56,square wave,57.87
Blue,#2aa4fc,low-pitched,0,Monthly,warm colors,3077.07,58.17,square wave,22.69
Green,#8a2c22,soft,255,Often,cool colors,2309.88,37.26,triangle wave,30.56
Fuscia,#7c7f0e,low-pitched,255),Once,neutral colors,194.31,96.58,sine wave,41.79
Green,#a67fb3,high-pitched,0,Often,neutral colors,1914.95,81.45,sine wave,2.08
Aquamarine,#4b69a6,soft,0),Yearly,warm colors,2500.47,23.17,triangle wave,86.01
Turquoise,#dd03c2,loud,0),Yearly,warm colors,1980.82,18.57,triangle wave,13.54
Goldenrod,#a721c2,low-pitched,0,Monthly,neutral colors,3505.95,49.26,triangle wave,45.21
Khaki,#eee356,low-pitched,255,Daily,cool colors,369.52,27.11,square wave,57.07
Maroon,#5b95e4,soft,0),Weekly,warm colors,1321.24,85.85,sine wave,98.05
Khaki,#4cf918,high-pitched,255),Never,warm colors,392.31,18.29,square wave,55.0
Pink,#92f711,low-pitched,255),Daily,cool colors,2094.02,20.55,triangle wave,19.55
Mauv,#d5c144,high-pitched,-255,Often,neutral colors,226.13,57.42,triangle wave,33.73
Mauv,#1a602c,high-pitched,0),Daily,cool colors,2964.8,27.46,square wave,51.8
Maroon,#3d8038,soft,0,Often,cool colors,2400.96,58.97,sine wave,71.82
Goldenrod,#06fbae,high-pitched,0,Yearly,cool colors,121.1,34.41,square wave,11.24
Khaki,#8e9838,soft,0),Daily,warm colors,1887.61,77.54,sine wave,90.21
Turquoise,#6f90a6,low-pitched,-255,Yearly,neutral colors,2978.77,53.58,square wave,19.84
Purple,#457656,loud,0),Once,cool colors,2921.13,36.41,sine wave,30.3
Turquoise,#c602ec,high-pitched,-255,Daily,cool colors,3445.47,97.51,square wave,10.13
Fuscia,#5bb45f,low-pitched,0),Once,cool colors,3367.54,22.39,square wave,64.56
Puce,#561ce7,soft,0),Seldom,cool colors,3522.33,14.55,square wave,20.96
Orange,#4eb86d,low-pitched,255,Daily,warm colors,754.7,76.41,square wave,29.01
Orange,#2f92d1,soft,0,Daily,cool colors,1853.46,14.53,triangle wave,28.21
Crimson,#a5437d,high-pitched,0),Never,warm colors,860.01,88.32,triangle wave,22.85
Puce,#f6b0c4,loud,255),Seldom,cool colors,1535.4,53.59,square wave,37.42
Puce,#a56fbe,low-pitched,255),Yearly,neutral colors,2954.07,72.82,sine wave,93.48
Purple,#74b568,low-pitched,0),Weekly,cool colors,52.49,57.69,sine wave,17.26
Orange,#3471f5,soft,255),Weekly,cool colors,911.84,32.52,triangle wave,10.59
Khaki,#2d6b24,loud,0),Monthly,neutral colors,1349.99,87.7,sine wave,0.67
Crimson,#493b81,low-pitched,0,Daily,warm colors,1319.31,14.21,sine wave,59.56
Yellow,#7e4366,loud,0,Often,warm colors,2881.19,95.89,square wave,28.13
Green,#16655d,loud,0,Often,warm colors,2909.19,84.71,square wave,37.78
Maroon,#e0358a,soft,-255,Once,cool colors,1941.7,55.39,square wave,24.78
Green,#aeb2b0,loud,-255,Never,cool colors,2041.43,46.27,square wave,26.38
Turquoise,#fb739c,high-pitched,-255,Often,warm colors,1517.85,82.94,triangle wave,3.51
Fuscia,#3a7cd6,high-pitched,0,Yearly,cool colors,842.27,17.01,sine wave,69.44
Indigo,#ea17d1,loud,-255,Never,warm colors,1442.33,21.39,triangle wave,91.14
Puce,#581470,loud,0,Often,warm colors,372.82,79.64,square wave,9.02
Khaki,#851bd8,low-pitched,255),Often,neutral colors,2385.97,56.71,square wave,10.56
Yellow,#f5f08d,soft,255,Monthly,neutral colors,1617.9,86.23,sine wave,92.23
Fuscia,#f21285,low-pitched,-255,Once,cool colors,3308.62,71.47,triangle wave,23.62
Indigo,#a466ad,soft,0),Often,warm colors,1273.46,71.88,triangle wave,49.45
Goldenrod,#cc95d1,high-pitched,0),Weekly,warm colors,2926.35,63.64,square wave,16.98
Red,#821da4,high-pitched,0,Yearly,cool colors,267.1,8.37,triangle wave,48.65
Pink,#a653ca,soft,0,Seldom,warm colors,2743.98,96.41,triangle wave,85.38
Maroon,#9180c0,loud,0,Often,neutral colors,811.28,14.59,triangle wave,79.07
Green,#e5de06,high-pitched,0),Daily,neutral colors,923.74,75.59,sine wave,8.59
Turquoise,#32c04d,low-pitched,0,Seldom,cool colors,843.5,83.86,square wave,47.16
Turquoise,#2d683f,high-pitched,0,Weekly,warm colors,2593.82,78.18,square wave,64.2
Mauv,#85a707,low-pitched,255,Never,cool colors,1436.48,85.99,sine wave,28.36
Violet,#9b9add,low-pitched,0,Once,cool colors,10.03,34.41,square wave,75.52
Violet,#d1c8b1,high-pitched,255),Weekly,neutral colors,3002.69,94.76,sine wave,62.3
Violet,#a83618,low-pitched,0),Once,cool colors,753.14,10.47,square wave,77.49
Purple,#fc8fd6,low-pitched,0),Often,neutral colors,3592.72,80.19,triangle wave,32.35
Green,#b52dc5,soft,0,Once,cool colors,1965.37,34.89,sine wave,99.86
Mauv,#f4ce04,high-pitched,0,Yearly,cool colors,1792.18,59.09,triangle wave,29.59
Aquamarine,#0c4fe0,low-pitched,0,Weekly,warm colors,1355.66,34.64,triangle wave,98.5
Mauv,#b387b4,soft,0,Yearly,neutral colors,1727.31,58.02,square wave,52.43
Pink,#86c55d,high-pitched,0),Once,cool colors,3443.93,76.34,triangle wave,44.69
Pink,#b1a774,low-pitched,0,Weekly,cool colors,737.89,68.65,square wave,97.61
Green,#5b0822,soft,255),Often,neutral colors,162.06,13.02,triangle wave,94.84
Red,#fc6c42,low-pitched,0,Weekly,cool colors,1338.33,62.55,square wave,45.37
Aquamarine,#b2c56d,high-pitched,0),Weekly,cool colors,2348.73,62.43,triangle wave,57.48
